dataset,noise_type,noise_rate,method,accuracy,macro_f1,macro_precision,macro_recall,total_time_sec,method_time_sec,train_time_sec,epochs_ran,n_train_input,n_train_selected
pendigits,random,0.12,deem,0.9465408805031447,0.9469382189991851,0.9499960328849921,0.9463980767084565,2.751301843672991,2.732859745621681,1.0293591506779194,54.0,7494.0,749.0
pendigits,random,0.18,cleancore,0.9596912521440824,0.9597512576281526,0.9602321370360449,0.960337612410204,2.1077962405979633,2.085540045052767,1.5185587741434574,102.0,7494.0,749.0
pendigits,random,0.18,gradmatch,0.9493996569468267,0.9497122061041188,0.9507580432519573,0.9499810140108649,1.1944252252578735,1.1763071939349174,0.9044540300965309,192.0,7494.0,256.0
pendigits,random,0.18,deem,0.9471126357918811,0.9473808121921568,0.9503155453289691,0.9469657157632057,2.5950317345559597,2.5769348442554474,0.9622465632855892,54.0,7494.0,749.0
pendigits,random,0.24,cleancore,0.9382504288164666,0.938051382662402,0.9388896083804228,0.938836863611287,2.6707254871726036,2.6485475413501263,1.843984380364418,154.0,7494.0,749.0
pendigits,random,0.24,gradmatch,0.8790737564322469,0.8796984712526941,0.884370708741268,0.8794627483552178,0.8737860843539238,0.8553945012390614,0.6090815924108028,122.0,7494.0,256.0
pendigits,random,0.24,deem,0.9353916523727844,0.9363187959600404,0.9394517603792625,0.9358779235237851,2.6965940445661545,2.6786771714687347,0.9524806477129459,54.0,7494.0,749.0
pendigits,random,0.30,cleancore,0.9539736992567182,0.953955522208888,0.9546404547670211,0.9543860871150558,1.8085403107106686,1.7863009683787823,1.1913991123437881,105.0,7494.0,749.0
pendigits,random,0.30,gradmatch,0.8990851915380217,0.9003187748572783,0.9052609836041032,0.8995552626929832,1.23972537368536,1.2214010506868362,0.9204828292131424,192.0,7494.0,256.0
pendigits,random,0.30,deem,0.9531160663236135,0.9536598748927565,0.955878957705249,0.9535988881087253,2.6485652923583984,2.6301304064691067,0.9208853915333748,54.0,7494.0,749.0
pendigits,shift,0.06,cleancore,0.9519725557461407,0.9521249799090168,0.9532654621944833,0.9523733762845025,2.1999402567744255,2.177437089383602,1.5555033683776855,153.0,7494.0,749.0
pendigits,shift,0.06,gradmatch,0.9462550028587764,0.9464071955335264,0.947519385118398,0.9474314802113311,0.8700033687055111,0.8514245711266994,0.5997824296355247,121.0,7494.0,256.0
pendigits,shift,0.06,deem,0.9222412807318467,0.9232284223173137,0.9309611361534678,0.9220136749275148,2.674744449555874,2.6567083224654198,1.0092533640563488,54.0,7494.0,749.0
